A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
60412434.83574319,134644726,0.008509872250267931,0.0,47842699.56310011,0.0,0.0,45876507.22344398,0.0,0.0,12586457,0.0,0.0,79084435.94406682,0.0,419100000.0,860.6355387010456
0.0,134644726,0.0,0.0,47842699.56310011,0.0,0.0,45876507.22344398,0.0,117933.65884102727,12586457,1.2016100135856882e-05,0.0,79084435.94406682,0.0,419100000.0,7.554650920615719
0.0,134644726,0.0,0.0,47842699.56310011,0.0,8738829.839136634,45876507.22344398,0.0021378363402655086,4351322.9398319945,12586457,0.00029607404865824585,0.0,79084435.94406682,0.0,419100000.0,587.7895625865967
0.0,134644726,0.0,108988903.38883221,47842699.56310011,0.01301750840576982,0.0,45876507.22344398,0.0,17690722.4693198,12586457,0.0008762542830147669,0.0,79084435.94406682,0.0,419100000.0,5224.379424751735
648715758.4909537,146023907,0.07284378469952384,0.0,47842699.56310011,0.0,0.0,86235112.72888009,0.0,0.0,33180617,0.0,0.0,33377116.55719709,0.0,846700000.0,10202.52496988761
17136667.767850105,146023907,0.001791972503205291,0.0,47842699.56310011,0.0,0.0,86235112.72888009,0.0,0.0,33180617,0.0,0.0,33377116.55719709,0.0,846700000.0,334.48683158117217
0.0,146023907,0.0,0.0,47842699.56310011,0.0,5881332.843145713,86235112.72888009,0.0011526209577044264,0.0,33180617,0.0,39086004.581586845,33377116.55719709,0.004015992976180223,846700000.0,2779.1830371520823
0.0,146023907,0.0,108988903.38883221,47842699.56310011,0.010414006724615852,0.0,86235112.72888009,0.0,0.0,33180617,0.0,0.0,33377116.55719709,0.0,846700000.0,5475.67533549019
486315906.2142968,163090485,0.05477284465905325,0.0,47842699.56310011,0.0,0.0,20299287.62732069,0.0,0.0,22403857,0.0,31957839.834351595,30351526.042379983,0.0041746091083927515,432800000.0,10969.81881488403
0.0,163090485,0.0,0.0,47842699.56310011,0.0,0.0,20299287.62732069,0.0,0.0,22403857,0.0,10222201.502509141,30351526.042379983,0.0011570810558325932,432800000.0,639.1648291969406
0.0,163090485,0.0,0.0,47842699.56310011,0.0,55661437.478756264,20299287.62732069,0.011699859661219652,623822.9807934875,22403857,3.852471196458026e-05,96327192.05240047,30351526.042379983,0.010956182740231763,432800000.0,9248.120182131785
0.0,163090485,0.0,156943395.16651642,47842699.56310011,0.01499452293309195,0.0,20299287.62732069,0.0,0.0,22403857,0.0,0.0,30351526.042379983,0.0,432800000.0,7886.591169385034
39834695.61967662,42291505,0.0035449129976993328,0.0,83721931.52190953,0.0,0.0,48716867.66610375,0.0,0.0,32585053,0.0,160260832.11827755,25037214.086173728,0.022804584471987348,448400000.0,13912.85564019088
0.0,42291505,0.0,402972.5662658268,83721931.52190953,5.741422678427818e-05,0.0,48716867.66610375,0.0,0.0,32585053,0.0,97631724.99363625,25037214.086173728,0.011227091523136392,448400000.0,6348.0104244922095
0.0,42291505,0.0,0.0,83721931.52190953,0.0,27555886.15700965,48716867.66610375,0.006298980646901919,0.0,32585053,0.0,402753900.9715551,25037214.086173728,0.04438323682819484,448400000.0,28259.342475445395
0.0,42291505,0.0,306473689.5593991,83721931.52190953,0.02747829587670931,0.0,48716867.66610375,0.0,0.0,32585053,0.0,0.0,25037214.086173728,0.0,448400000.0,14713.423467813805
1716749341.9049222,0,0.20532816456386954,0.0,47842699.56310011,0.0,0.0,41292219.28177295,0.0,0.0,20319063,0.0,453296.8675802527,30351526.042379983,8.941349474886446e-05,351800000.0,20852.005082080148
