A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,0.0,147608409.73545504,0.0,12553154.094753705,37185717.67172921,0.001027478280035208,0.0,72580607.18485624,0.0,538900000.0,1400.981185661749
0.0,42291505.65437629,0.0,3275309.143708368,217739313.15848744,0.003104331654331936,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,0.0,109034875.39118919,0.0,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,0.0,109034875.39118919,0.0,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,13580875.122822152,109034875.39118919,0.009383999345575737,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,5527387.819125517,109034875.39118919,0.006194424167965635,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,194145765.299016,115710943.64477994,0.3877291121592776,0.0,44171740.892268956,0.0,0.0,109034875.39118919,0.0,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,48196450.60334127,109034875.39118919,0.05328028625069477,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,0.0,115710943.64477994,0.0,4245563.92535824,44171740.892268956,0.0015419231904305344,250086156.04585412,109034875.39118919,0.16402343401160877,1609600000.0,0.0
0.0,42291505.65437629,0.0,3244502.352183538,217739313.15848744,0.0030484538128873378,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,0.0,109034875.39118919,0.0,1609600000.0,0.0
0.0,42291505.65437629,0.0,0.0,217739313.15848744,0.0,0.0,115710943.64477994,0.0,0.0,44171740.892268956,0.0,9785174.052700145,109034875.39118919,0.013365767913079423,1609600000.0,0.0
0.0,215373178.56511745,0.0,0.0,309453867.2431364,0.0,0.0,103731505.54675925,0.0,0.0,32304948.475029543,0.0,0.0,95551972.64492762,0.0,1134000000.0,0.0
