experiment,A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,A.3 Expected Annual Damage,A.3 Dike Investment Costs,A.3_Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Dike Investment Costs,A.4_Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
22,96895037.77394901,0,0.06525134094116729,1105431994.175911,0,0.8854725798086185,0.0,0,0.0,24931431.327654067,0,0.006759405798965453,0.0,0,0.0,0.0,0.0
23,0.0,0,0.0,32889192.6848078,0,0.026044328979016255,13917742.37488814,0,0.020753252676562875,53159919.6823535,0,0.020896247608535794,754603109.2722435,0,0.535522034101926,0.0,0.0
24,0.0,0,0.0,26451061.258997217,0,0.026046726208335112,98421604.27211109,0,0.1799496351808146,10366971.522119567,0,0.005469347355901516,0.0,0,0.0,0.0,0.0
25,78290507.95413758,0,0.062188136705249655,378137717.0215703,0,0.3746768057804069,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
26,2752941507.2116814,0,1.9818894702835015,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
27,45625362.421885744,0,0.03489814779391841,48671860.98211051,0,0.049479492780114515,75674528.19761682,0,0.14388403149254309,12944732.94656308,0,0.006600074869146309,416837940.37497854,0,0.3923975249934912,0.0,0.0
28,3052556346.3561707,0,1.933683967940202,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29,2135225021.0427704,0,1.9284587358887086,34289858.48396127,0,0.042762229017479905,0.0,0,0.0,0.0,0,0.0,131423001.69667962,0,0.15653306198821745,0.0,0.0
30,0.0,0,0.0,32934608.80214223,0,0.02611309080967738,7440558.082372155,0,0.011043991077293697,52636788.63542178,0,0.02052837155684712,0.0,0,0.0,0.0,0.0
31,2794930151.01192,0,1.933683967940202,0.0,0,0.0,0.0,0,0.0,5337123.136911239,0,0.002574761296050208,95518855.50773735,0,0.0878316142370765,0.0,0.0
32,791422842.9385098,0,0.5713423043453081,0.0,0,0.0,0.0,0,0.0,30876675.17055446,0,0.014615261817109225,175664937.3613748,0,0.1629515535061149,0.0,0.0
33,3210741842.696728,0,1.9824522520982422,0.0,0,0.0,2160247607.1347027,0,3.297428857763786,0.0,0,0.0,0.0,0,0.0,0.0,0.0
34,43830666.70975025,0,0.03329310981641546,2985142.1483522225,0,0.0030938269298996395,47393408.423236415,0,0.09127904275704346,39332877.44853319,0,0.01977134403229217,0.0,0,0.0,0.0,0.0
35,76115478.31698394,0,0.06463563685365618,869194393.2382102,0,0.8761209323068629,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
36,3188986614.491184,0,1.9655814543229235,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,26664305.101344604,0,0.021176392362550756,0.0,0.0
37,70857195.08829062,0,0.06378414676886185,0.0,0,0.0,1699074318.8678718,0,3.5842186053934357,30721476.313564256,0,0.014485664198309973,0.0,0,0.0,0.0,0.0
38,61085409.92152217,0,0.06489307546348888,34438435.98370889,0,0.0486964891139608,49683413.03365032,0,0.1332733079077144,0.0,0,0.0,439380906.06854343,0,0.5761972444317458,0.0,0.0
39,160626201.00051713,0,0.12055130239111361,0.0,0,0.0,1217326038.7852135,0,2.207876716330812,0.0,0,0.0,0.0,0,0.0,0.0,0.0
40,2171191873.449518,0,1.9694890073370424,0.0,0,0.0,34345645.76685883,0,0.08318306855803016,11710501.095564075,0,0.007166043922869975,385491016.9442377,0,0.42651123150020676,0.0,0.0
41,2164135370.7462597,0,1.9614380429687661,165607760.99170688,0,0.18813028679422525,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
