experiment,A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
150,198232103.07086205,0,0.14833697160452208,4606437.623062002,0,0.0047319725070694265,0.0,0.0
151,2110508293.7467136,0,1.9111573168044866,0.0,0,0.0,0.0,0.0
152,236309162.78157204,0,0.14712334925808768,352051930.38198507,0,0.28011165465327886,0.0,0.0
153,55779378.53370874,0,0.040433039530824694,145302220.05333683,0,0.13546351729484993,0.0,0.0
154,0.0,0,0.0,158246855.4011917,0,0.2153626587541868,0.0,0.0
155,21212959.780252166,0,0.013885949365097593,164099895.83380544,0,0.13668754133263475,0.0,0.0
156,100921498.49617967,0,0.05841328809218713,1243443385.303308,0,0.8529605289231184,0.0,0.0
157,159348605.88526535,0,0.14078195486167175,346841628.19536716,0,0.38556089352307127,0.0,0.0
158,2607974420.972806,0,1.9161036888372194,0.0,0,0.0,0.0,0.0
159,2701252873.871241,0,1.9460504473884381,105367820.72999528,0,0.10595065643973314,0.0,0.0
160,2478412068.536083,0,1.543601687438242,229323389.32347348,0,0.18943675255753953,0.0,0.0
161,135549962.3482229,0,0.07849157921083194,0.0,0,0.0,0.0,0.0
162,0.0,0,0.0,17695860.450592477,0,0.015481273505508049,0.0,0.0
163,16991678.125943497,0,0.013933297353294152,57307822.79239495,0,0.06142711633631291,0.0,0.0
164,2424216548.5606384,0,1.9369136779356746,4081776.9016693607,0,0.0048998505388472505,0.0,0.0
165,2491182279.238736,0,1.943066534648057,0.0,0,0.0,0.0,0.0
166,0.0,0,0.0,25416020.86315368,0,0.02323081109470289,0.0,0.0
167,2708719638.0692563,0,1.952804568033265,4002805.629041763,0,0.003932953971685513,0.0,0.0
168,20023639.58818088,0,0.012986202263494881,51113805.84085484,0,0.04362865768004362,0.0,0.0
169,2913278677.6559052,0,1.9216076264375355,0.0,0,0.0,0.0,0.0
170,2633326931.5080743,0,1.9395603402025086,3594825.9972680067,0,0.0034893874910021105,0.0,0.0
171,101892394.26402381,0,0.08616157422068417,10893320.35145206,0,0.01250177651369673,0.0,0.0
172,17904156.636935025,0,0.013849977147877526,961476580.9970286,0,0.8681077093844047,0.0,0.0
173,1854607715.490732,0,1.208024927374418,0.0,0,0.0,0.0,0.0
174,0.0,0,0.0,13372251.268565014,0,0.015529183580839384,0.0,0.0
175,2487602452.09944,0,1.9395603402025086,0.0,0,0.0,0.0,0.0
176,140973191.5740815,0,0.10539334450153666,0.0,0,0.0,0.0,0.0
177,0.0,0,0.0,742117238.7521652,0,0.6739885077775645,0.0,0.0
178,306985163.07996905,0,0.2530529481375863,194941382.48051876,0,0.20959547714559024,0.0,0.0
179,257257198.19597888,0,0.1891863981728095,739021559.1563009,0,0.6691328919079039,0.0,0.0
180,2935504199.9810877,0,1.8906515462051598,0.0,0,0.0,0.0,0.0
181,1988998224.9077706,0,1.795453003452876,0.0,0,0.0,0.0,0.0
182,0.0,0,0.0,130622942.54418549,0,0.13595090065852108,0.0,0.0
183,61074990.3435837,0,0.041522056937647975,68375937.9237218,0,0.06144761004715512,0.0,0.0
184,0.0,0,0.0,32733957.8354629,0,0.030603635898362673,0.0,0.0
185,0.0,0,0.0,0.0,0,0.0,0.0,0.0
186,78525608.93495964,0,0.07092430814740702,14042882.37266663,0,0.01707226992537861,0.0,0.0
187,2612356100.5188713,0,1.9108994870127394,0.0,0,0.0,0.0,0.0
188,0.0,0,0.0,3999197.293101613,0,0.005042218929876239,0.0,0.0
189,70239932.28562018,0,0.0410349633383256,79222973.32781863,0,0.061127674133201616,0.0,0.0
190,62933612.06601739,0,0.03991590413934418,1137218647.536265,0,0.8490323852082479,0.0,0.0
191,93705194.38562858,0,0.06959242375734537,0.0,0,0.0,0.0,0.0
192,3937856269.4308777,0,1.9314511306883082,0.0,0,0.0,0.0,0.0
193,3141377704.796344,0,1.9395603402025086,5103980.340981277,0,0.004584001264096772,0.0,0.0
194,663618406.8628234,0,0.6239161451092949,16395626.156100351,0,0.020950340083770152,0.0,0.0
195,16970473.677592225,0,0.013550723152671414,107971598.87157449,0,0.11031126213374476,0.0,0.0
196,2097693982.3647025,0,1.2497326528577615,839545246.7896506,0,0.6303928343782428,0.0,0.0
197,0.0,0,0.0,87261377.43545565,0,0.07790890210426077,0.0,0.0
198,21415550.474856555,0,0.01403921371854687,32385821.016090557,0,0.028431366296621855,0.0,0.0
199,76926000.75414415,0,0.05700259407058329,4818220.262164525,0,0.004981368562197566,0.0,0.0
200,871986741.8320222,0,0.4844451219431393,250945536.9645424,0,0.1807410555592519,0.0,0.0
201,1042262747.7377012,0,0.7311205981369213,26472096.695943326,0,0.025666927385533164,0.0,0.0
202,3644024161.6708765,0,1.935952289217624,0.0,0,0.0,0.0,0.0
203,0.0,0,0.0,427885102.39266837,0,0.3957356366840746,0.0,0.0
204,0.0,0,0.0,487508375.1624827,0,0.3848446215754775,0.0,0.0
